BrandNo,CampaignNo,CampStartDay,CampEndDay,CampBudget,AdGroupNo,AdExpense,AdStartDay,AdEndDay,E_impressions,impressions,E_clicks,clicks,E_views,views,ChannelGoodsNo,ChannelGoodsNm,ChannelNo,Level1Cd,Level2Cd,Level1CdNm,month,weeks,days,season,ratio,naver,facebook,instagram,gdn,kakao,youtube,etc,Target_purpose,Target_gender,Target_age_7_9,Target_age_10_14,Target_age_15_19,Target_age_20_24,Target_age_25_29,Target_age_30_34,Target_age_35_39,Target_age_40_44,Target_age_45_49,Target_age_50_54,Target_age_55_59,Target_age_60_64,Target_age_65_69,Target_age_70_74,Target_age_75_79,Ad_Material,AdvertiserNo,Advertiser_Naver_Yn,Advertiser_Facebook_Yn,Advertiser_Instragram_Yn,Advertiser_Google_Yn,Advertiser_Kakao_Yn,Advertiser_Youtube_Yn,Advertiser_Etc_Yn,Level1Cd_Naver_Ratio,Level1Cd_Facebook_Ratio,Level1Cd_Instagram_Ratio,Level1Cd_Google_Ratio,Level1Cd_Kakao_Ratio,Level1Cd_Youtube_Ratio,Level1Cd_Etc_Ratio
1065,90,2019-01-01,2019-01-31,135000000,62,40000000.0,2019-01-01,2019-01-31,5400000.0,7863243.0,,,,,13.0,SK_BIG AD,5.0,130000,131500,가정용품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,1,0.688391039,0.015274949,0.012219959,0.00101833,0.019348269,0.073319756,0.190427699
1065,90,2019-01-01,2019-01-31,135000000,62,40000000.0,2019-01-01,2019-01-31,3600000.0,9226603.0,,,,,13.0,SK_BIG AD,5.0,130000,131500,가정용품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,1,0.688391039,0.015274949,0.012219959,0.00101833,0.019348269,0.073319756,0.190427699
1065,90,2019-01-01,2019-01-31,135000000,61,30000000.0,2019-01-01,2019-01-31,3450000.0,4310974.0,,,,,14.0,LG_ART,6.0,130000,131500,가정용품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,1,0.688391039,0.015274949,0.012219959,0.00101833,0.019348269,0.073319756,0.190427699
1065,90,2019-01-01,2019-01-31,135000000,61,30000000.0,2019-01-01,2019-01-31,3450000.0,3901375.0,,,,,14.0,LG_ART,6.0,130000,131500,가정용품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,1,0.688391039,0.015274949,0.012219959,0.00101833,0.019348269,0.073319756,0.190427699
1066,91,2019-01-01,2019-01-31,15000000,,,,,,,,,,,,,,40000,42500,제약 및 의료,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0,0,0,0,1,0.443902439,0.02601626,0.004878049,0.02601626,0.102439024,0.047154472,0.349593496
793,92,2019-01-01,2019-01-31,100000000,,,,,,,,,,,,,,200000,201500,교육 및 복지후생,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,1,0.166666667,0.081196581,0.042735043,0.141025641,0.115384615,0.085470085,0.367521368
1067,94,2019-01-01,2019-01-31,100000000,,,,,,,,,,,,,,20000,25500,식품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,1,0,0,1,1,1,1,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
840,95,2019-01-01,2019-01-31,10000000,,,,,,,,,,,,,,40000,49900,제약 및 의료,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,772,0,1,0,1,1,1,1,0.443902439,0.02601626,0.004878049,0.02601626,0.102439024,0.047154472,0.349593496
1069,96,2019-01-01,2019-01-31,13500000,,,,,,,,,,,,,,160000,161000,유통,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 0.63]""",0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,0,0,1,0.419708029,0.003649635,0.135036496,0.00729927,0.109489051,0.010948905,0.313868613
579,97,2019-01-01,2019-01-31,90000000,,,,,,,,,,,,,,20000,29900,식품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,1,0,0,0,0,0,1,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
1070,99,2019-01-01,2019-01-31,105000000,,,,,,,,,,,,,,20000,29900,식품,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,1,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
1050,105,2019-01-01,2019-01-31,3100000,,,,,,,,,,,,,,0,0,기타,1,4,30,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1056,1,0,0,0,0,0,1,0.285714286,0.0,0.0,0.074534161,0.273291925,0.273291925,0.093167702
1072,106,2018-12-04,2019-01-02,6200000,,,,,,,,,,,,,,190000,191000,관공서 및 단체,12,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1070,1,0,0,0,0,0,0,0.236212279,0.100936524,0.033298647,0.037460978,0.139438085,0.211238293,0.241415193
1063,107,2019-01-01,2019-01-31,10000000,,,,,,,,,,,,,,180000,189900,서비스,1,4,30,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,1,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
737,109,2019-02-18,2019-03-18,20000000,,,,,,,,,,,,,,150000,151500,"건설, 건재 및 부동산",2,4,28,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,567,1,0,0,0,1,0,0,0.51368095,0.021683015,0.012390294,0.095508518,0.211667527,0.0273619,0.117707796
1116,110,2019-01-29,2019-02-25,2000000,,,,,,,,,,,,,,30000,39900,음료 및 기호식품,1,4,27,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,1,0.311258278,0.026490066,0.006622517,0.158940397,0.198675497,0.01986755,0.278145695
1080,111,2019-01-28,2019-02-24,11600000,,,,,,,,,,,,,,50000,56500,화장품 및 보건용품,1,4,27,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,460,1,1,1,0,1,1,1,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1074,112,2019-01-01,2019-01-28,3307278,,,,,,,,,,,,,,200000,200500,교육 및 복지후생,1,4,27,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,0,1,0.166666667,0.081196581,0.042735043,0.141025641,0.115384615,0.085470085,0.367521368
1089,113,2018-12-16,2019-01-14,13100000,,,,,,,,,,,,,,110000,117500,컴퓨터 및 정보통신,12,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,1,0,0,0,0,0,0,0.305555556,0.03968254,0.0,0.265873016,0.007936508,0.023809524,0.357142857
1090,114,2018-12-20,2019-01-14,1000000,,,,,,,,,,,,,,110000,117500,컴퓨터 및 정보통신,12,4,25,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,1,0,0,0,0,0,0,0.305555556,0.03968254,0.0,0.265873016,0.007936508,0.023809524,0.357142857
1143,115,2018-12-11,2019-01-21,13650000,,,,,,,,,,,,,,150000,151500,"건설, 건재 및 부동산",12,6,41,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,1,1,1,1,1,0.51368095,0.021683015,0.012390294,0.095508518,0.211667527,0.0273619,0.117707796
1085,116,2019-01-07,2019-01-20,15000000,,,,,,,,,,,,,,150000,151500,"건설, 건재 및 부동산",1,2,13,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,981,1,0,0,1,0,0,0,0.51368095,0.021683015,0.012390294,0.095508518,0.211667527,0.0273619,0.117707796
1086,117,2019-01-14,2019-01-27,12000000,,,,,,,,,,,,,,150000,151500,"건설, 건재 및 부동산",1,2,13,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,1,0,0,0,0,0,0,0.51368095,0.021683015,0.012390294,0.095508518,0.211667527,0.0273619,0.117707796
1048,118,2018-12-31,2019-01-13,14000000,,,,,,,,,,,,,,190000,191000,관공서 및 단체,12,2,13,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1053,1,0,0,0,0,0,0,0.236212279,0.100936524,0.033298647,0.037460978,0.139438085,0.211238293,0.241415193
1081,121,2019-02-04,2019-02-24,660000,,,,,,,,,,,,,,180000,182500,서비스,2,3,20,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,460,1,1,1,0,1,1,1,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
1069,122,2019-02-01,2019-02-28,13500000,,,,,,,,,,,,,,160000,161000,유통,2,4,27,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,0,0,1,0.419708029,0.003649635,0.135036496,0.00729927,0.109489051,0.010948905,0.313868613
393,125,2019-02-02,2019-02-28,10000000,,,,,,,,,,,,,,120000,125500,수송기기,2,4,26,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,1,0.581395349,0.023255814,0.0,0.01744186,0.046511628,0.034883721,0.296511628
1125,127,2019-02-01,2019-02-28,7200000,,,,,,,,,,,,,,70000,72500,패션,2,4,27,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,1,0,0,0,0,0,1,0.5,0.034090909,0.022727273,0.045454545,0.068181818,0.088068182,0.241477273
1126,128,2019-02-02,2019-02-28,100000000,,,,,,,,,,,,,,180000,184000,서비스,2,4,26,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,1,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
1108,139,2019-02-18,2019-02-24,3000000,,,,,,,,,,,,,,130000,132000,가정용품,2,1,6,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,1,0,0,0,0,0,1,0.688391039,0.015274949,0.012219959,0.00101833,0.019348269,0.073319756,0.190427699
709,141,2019-02-01,2019-02-28,30000000,,,,,,,,,,,,,,170000,171000,"금융, 보험 및 증권",2,4,27,Winter,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,1,0.357377049,0.050819672,0.040983607,0.014754098,0.059016393,0.11147541,0.36557377
1114,142,2019-01-30,2019-02-28,4000000,,,,,,,,,,,,,,180000,180500,서비스,1,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0,0,0,0,0,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
1103,144,2019-01-25,2019-02-23,1200000,,,,,,,,,,,,,,180000,182000,서비스,1,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,558,1,0,0,0,0,0,1,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
1076,145,2019-01-27,2019-02-25,1100000,,,,,,,,,,,,,,180000,182000,서비스,1,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,1,0,0,0,0,0,1,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
